City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hambantota,LK,2022-06-11 18:50:40,6.1241,81.1185,79.14,94,75,2.3
68,Izhma,RU,2022-06-11 18:50:40,65.0083,53.9113,45.39,53,100,10.11
69,Hilo,US,2022-06-11 18:50:40,19.7297,-155.09,81.28,72,75,3.0
70,Marquette,US,2022-06-11 18:50:41,46.5333,-87.6335,55.78,94,100,3.42
71,Carman,CA,2022-06-11 18:50:41,49.4992,-98.0016,76.12,50,100,5.75
72,Iqaluit,CA,2022-06-11 18:50:41,63.7506,-68.5145,51.53,50,75,11.5
73,Tezu,IN,2022-06-11 18:50:42,27.9167,96.1667,74.39,98,100,2.91
74,Ushuaia,AR,2022-06-11 18:46:31,-54.8,-68.3,40.66,87,75,5.75
75,Batsfjord,NO,2022-06-11 18:50:42,70.6345,29.7185,58.78,47,20,6.91
76,Cwmbran,GB,2022-06-11 18:50:42,51.6545,-3.0228,62.15,66,100,15.55
77,Butaritari,KI,2022-06-11 18:50:43,3.0707,172.7902,81.52,77,62,11.61
78,Esperance,AU,2022-06-11 18:45:44,-33.8667,121.9,57.65,75,77,16.51
79,Ucluelet,CA,2022-06-11 18:50:43,48.9329,-125.5528,55.09,93,38,4.99
80,Mount Isa,AU,2022-06-11 18:50:44,-20.7333,139.5,51.57,46,57,11.5
81,Yerbogachen,RU,2022-06-11 18:50:44,61.2767,108.0108,44.38,67,19,0.83
82,East London,ZA,2022-06-11 18:50:18,-33.0153,27.9116,68.94,45,0,8.05
83,Bahia Blanca,AR,2022-06-11 18:50:44,-38.7196,-62.2724,59.97,32,4,8.77
84,Ginir,ET,2022-06-11 18:50:45,7.1333,40.7,59.61,76,11,5.84
85,Elk City,US,2022-06-11 18:50:45,35.412,-99.4043,91.62,52,0,9.22
86,Pacific Grove,US,2022-06-11 18:46:48,36.6177,-121.9166,86.34,66,0,5.75
87,La Ronge,CA,2022-06-11 18:50:46,55.1001,-105.2842,57.45,94,75,3.44
88,Weatherford,US,2022-06-11 18:46:47,32.7593,-97.7972,104.95,38,3,1.99
89,Faanui,PF,2022-06-11 18:50:46,-16.4833,-151.75,79.9,77,55,18.37
90,Khorramshahr,IR,2022-06-11 18:50:46,30.4397,48.1664,96.76,17,0,11.5
91,Qaanaaq,GL,2022-06-11 18:51:47,77.484,-69.3632,30.24,72,100,2.37
92,Mataura,NZ,2022-06-11 18:47:46,-46.1927,168.8643,37.47,90,100,5.99
93,Chingirlau,KZ,2022-06-11 18:51:47,51.095,54.0814,64.08,75,52,6.24
94,Hermanus,ZA,2022-06-11 18:51:48,-34.4187,19.2345,59.81,45,100,6.93
95,Ust-Kuyga,RU,2022-06-11 18:51:48,70.0167,135.6,57.76,53,35,6.46
96,Van,TR,2022-06-11 18:51:48,38.4924,43.3831,63.27,59,1,5.55
97,Souillac,MU,2022-06-11 18:51:49,-20.5167,57.5167,73.78,73,75,10.36
98,Upernavik,GL,2022-06-11 18:51:49,72.7868,-56.1549,30.45,79,25,14.09
99,Avarua,CK,2022-06-11 18:51:49,-21.2078,-159.775,77.05,61,75,5.75
100,Navalmoral De La Mata,ES,2022-06-11 18:51:50,39.8916,-5.5406,90.95,24,8,6.85
101,Hellebaek,DK,2022-06-11 18:51:50,56.0682,12.5578,64.9,64,0,5.99
102,Black River,JM,2022-06-11 18:51:50,18.0264,-77.8487,88.56,57,100,16.4
103,Caska,MK,2022-06-11 18:51:51,41.6506,21.6622,68.52,80,71,7.4
104,Chuy,UY,2022-06-11 18:51:10,-33.6971,-53.4616,52.23,62,49,16.44
105,General Teran,MX,2022-06-11 18:51:51,25.2667,-99.6833,104.09,21,0,12.8
106,Rabat,MA,2022-06-11 18:50:31,33.9911,-6.8401,77.07,73,40,5.75
107,Baykit,RU,2022-06-11 18:51:52,61.67,96.37,53.76,60,90,4.94
108,Muswellbrook,AU,2022-06-11 18:51:52,-32.2667,150.9,46.33,73,0,13.89
109,Nanakuli,US,2022-06-11 18:51:52,21.3906,-158.1547,81.45,62,0,5.75
110,Tricase,IT,2022-06-11 18:51:53,39.9304,18.3553,76.35,50,0,12.66
111,Birjand,IR,2022-06-11 18:51:53,32.8663,59.2211,77.47,25,0,16.11
112,Victoria,HK,2022-06-11 18:50:58,22.2855,114.1577,80.94,88,97,1.99
113,Yumen,CN,2022-06-11 18:51:54,40.2833,97.2,63.19,11,0,5.46
114,Kalabo,ZM,2022-06-11 18:51:55,-14.97,22.6814,59.5,49,3,5.44
115,Ribeira Grande,PT,2022-06-11 18:51:55,38.5167,-28.7,66.6,68,20,14.97
116,Cherskiy,RU,2022-06-11 18:51:56,68.75,161.3,61.12,38,100,5.21
117,Paracuru,BR,2022-06-11 18:51:56,-3.41,-39.0306,83.1,72,18,9.13
118,Tromso,NO,2022-06-11 18:51:56,69.6496,18.957,48.38,93,75,3.44
119,Lorengau,PG,2022-06-11 18:51:57,-2.0226,147.2712,80.69,75,13,6.24
120,Congleton,GB,2022-06-11 18:51:57,53.1631,-2.2125,62.33,70,11,15.73
121,Anadyr,RU,2022-06-11 18:51:57,64.75,177.4833,43.3,65,0,15.66
122,Vila Velha,BR,2022-06-11 18:51:58,-20.3297,-40.2925,76.95,80,100,14.0
123,Kiama,AU,2022-06-11 18:51:58,-34.6833,150.8667,53.46,62,0,14.0
124,Storforshei,NO,2022-06-11 18:51:58,66.4043,14.5233,53.38,81,100,6.91
125,Richards Bay,ZA,2022-06-11 18:51:59,-28.783,32.0377,66.78,81,0,13.47
126,Kassala,SD,2022-06-11 18:51:59,15.451,36.4,89.94,36,88,12.15
127,Mancio Lima,BR,2022-06-11 18:51:59,-7.6142,-72.8958,75.27,69,75,9.22
128,Lagoa,PT,2022-06-11 18:52:00,39.05,-27.9833,60.46,82,100,9.35
129,Luganville,VU,2022-06-11 18:48:24,-15.5333,167.1667,76.59,87,36,2.73
130,Trairi,BR,2022-06-11 18:49:15,-3.2778,-39.2689,81.77,75,40,8.32
131,Fukue,JP,2022-06-11 18:52:00,32.6881,128.8419,69.26,89,37,23.31
132,Mandalgovi,MN,2022-06-11 18:52:01,45.7625,106.2708,50.31,76,100,20.78
133,Along,IN,2022-06-11 18:52:01,28.1667,94.7667,73.63,99,99,1.05
134,Padang,ID,2022-06-11 18:52:01,-0.9492,100.3543,71.65,97,100,2.08
135,Luderitz,NA,2022-06-11 18:52:02,-26.6481,15.1594,64.98,48,3,7.18
136,Geraldton,AU,2022-06-11 18:52:02,-28.7667,114.6,64.81,94,75,4.61
137,Sudbury,CA,2022-06-11 18:49:49,46.49,-80.99,73.06,42,100,7.0
138,Agadez,NE,2022-06-11 18:53:03,19.75,10.25,95.88,16,88,5.35
139,Aripuana,BR,2022-06-11 18:53:03,-9.1667,-60.6333,79.79,57,95,4.16
140,Barrow,US,2022-06-11 18:53:03,71.2906,-156.7887,32.02,80,75,13.8
141,Grindavik,IS,2022-06-11 18:53:04,63.8424,-22.4338,53.55,81,75,18.41
142,Bac Lieu,VN,2022-06-11 18:53:04,9.285,105.7244,80.73,85,29,7.7
143,Ilulissat,GL,2022-06-11 18:53:04,69.2167,-51.1,36.48,78,32,6.42
144,Ouango,CF,2022-06-11 18:53:05,4.3133,22.5552,73.9,80,9,3.56
145,Moree,AU,2022-06-11 18:53:05,-29.4667,149.85,40.93,84,44,8.34
146,Hasaki,JP,2022-06-11 18:53:05,35.7333,140.8333,66.6,92,100,18.66
147,Saldanha,ZA,2022-06-11 18:53:06,-33.0117,17.9442,60.85,76,100,10.49
148,Plaster Rock,CA,2022-06-11 18:53:06,46.9065,-67.39,73.92,72,100,5.95
149,Port Lincoln,AU,2022-06-11 18:51:38,-34.7333,135.8667,52.52,74,21,6.58
150,Churapcha,RU,2022-06-11 18:53:06,62.0025,132.4325,52.61,73,100,4.14
151,Yulara,AU,2022-06-11 18:53:01,-25.2406,130.9889,44.67,60,6,6.76
152,Harper,LR,2022-06-11 18:53:07,4.375,-7.7169,75.54,92,100,6.87
153,Imbituba,BR,2022-06-11 18:53:07,-28.24,-48.6703,60.1,65,0,3.0
154,Bubaque,GW,2022-06-11 18:53:08,11.2833,-15.8333,80.82,78,100,11.79
155,Ternate,ID,2022-06-11 18:53:08,0.8,127.4,79.57,82,88,5.66
156,Yangambi,CD,2022-06-11 18:53:08,0.8102,24.4336,75.25,78,67,1.23
157,Killybegs,IE,2022-06-11 18:53:09,54.6333,-8.45,55.11,86,41,20.83
158,Dikson,RU,2022-06-11 18:53:09,73.5069,80.5464,42.15,74,100,16.35
159,Sao Filipe,CV,2022-06-11 18:53:09,14.8961,-24.4956,73.49,85,18,5.86
160,Ahuimanu,US,2022-06-11 18:53:10,21.4447,-157.8378,81.19,69,75,11.5
161,Hervey Bay,AU,2022-06-11 18:53:10,-25.2986,152.8535,51.82,73,90,12.8
162,Weihe,CN,2022-06-11 18:53:10,32.9952,105.3247,59.85,95,100,3.98
163,Haines Junction,CA,2022-06-11 18:53:11,60.7522,-137.5108,57.15,44,100,2.3
164,Nanortalik,GL,2022-06-11 18:52:13,60.1432,-45.2371,46.33,68,100,14.72
165,Castro,BR,2022-06-11 18:53:11,-24.7911,-50.0119,51.03,67,100,5.14
166,Camacha,PT,2022-06-11 18:53:12,33.0833,-16.3333,65.62,77,40,13.8
167,Lodja,CD,2022-06-11 18:53:12,-3.4833,23.4333,79.81,47,84,2.15
168,Aklavik,CA,2022-06-11 18:53:13,68.2191,-135.0107,37.4,87,100,11.5
169,Hofn,IS,2022-06-11 18:53:13,64.2539,-15.2082,51.04,77,100,4.97
170,Visby,SE,2022-06-11 18:53:13,57.6409,18.296,65.05,68,0,10.36
171,Chokurdakh,RU,2022-06-11 18:53:14,70.6333,147.9167,51.55,45,26,11.56
172,Dingle,PH,2022-06-11 18:53:14,10.9995,122.6711,76.6,90,76,2.71
173,Alofi,NU,2022-06-11 18:53:14,-19.0595,-169.9187,73.29,100,80,9.22
174,Kattivakkam,IN,2022-06-11 18:53:15,13.2167,80.3167,87.89,89,100,12.19
175,Doha,QA,2022-06-11 18:51:45,25.2867,51.5333,98.58,20,0,17.27
176,Catuday,PH,2022-06-11 18:53:15,16.2923,119.8062,80.06,80,99,2.24
177,Flinders,AU,2022-06-11 18:49:46,-34.5833,150.8552,53.26,63,0,8.01
178,Puerto Leguizamo,CO,2022-06-11 18:53:16,-0.1934,-74.7819,70.63,99,100,3.71
179,Pamekasan,ID,2022-06-11 18:53:16,-7.1568,113.4746,78.75,86,100,3.94
180,Todos Santos,MX,2022-06-11 18:53:17,23.45,-110.2167,99.05,62,8,7.56
181,Dali,CN,2022-06-11 18:53:17,25.7,100.1833,61.7,93,100,4.54
182,Tuktoyaktuk,CA,2022-06-11 18:54:17,69.4541,-133.0374,42.8,75,75,10.36
183,Teahupoo,PF,2022-06-11 18:54:18,-17.8333,-149.2667,71.56,81,78,21.7
184,Ust-Omchug,RU,2022-06-11 18:54:18,61.15,149.6333,37.9,84,89,2.77
185,Codrington,AU,2022-06-11 18:54:18,-38.2667,141.9667,52.25,75,100,18.57
186,Gizo,SB,2022-06-11 18:54:19,-8.103,156.8419,80.89,75,1,5.01
187,Hazorasp,UZ,2022-06-11 18:54:19,41.3194,61.0742,71.44,29,44,15.3
188,Laguna,US,2022-06-11 18:51:04,38.421,-121.4238,96.31,31,0,9.22
189,Garanhuns,BR,2022-06-11 18:54:20,-8.8903,-36.4928,70.21,90,88,5.28
190,Coihaique,CL,2022-06-11 18:54:20,-45.5752,-72.0662,38.01,80,0,3.44
191,Tasiilaq,GL,2022-06-11 18:47:48,65.6145,-37.6368,42.96,72,7,1.05
192,Pochutla,MX,2022-06-11 18:54:21,15.7432,-96.4661,87.82,71,95,7.25
193,Ambositra,MG,2022-06-11 18:54:21,-20.5167,47.25,54.45,87,100,5.39
194,Santiago Del Estero,AR,2022-06-11 18:54:21,-27.7951,-64.2615,67.55,26,2,8.23
195,Port Said,EG,2022-06-11 18:53:56,31.2565,32.2841,84.18,74,0,10.36
196,Kangalassy,RU,2022-06-11 18:54:22,62.3464,129.9628,53.53,87,98,3.04
197,Andenes,NO,2022-06-11 18:54:23,69.3143,16.1194,46.38,93,75,10.36
198,Te Anau,NZ,2022-06-11 18:54:23,-45.4167,167.7167,39.06,97,100,5.93
199,Taoudenni,ML,2022-06-11 18:54:23,22.6783,-3.9836,107.67,6,59,7.23
200,Baruun-Urt,MN,2022-06-11 18:54:24,46.6806,113.2792,52.47,63,94,6.24
201,Takoradi,GH,2022-06-11 18:54:24,4.8845,-1.7554,78.06,78,100,9.73
202,Changji,CN,2022-06-11 18:54:25,44.0167,87.3167,83.19,21,0,2.24
203,Bluff,NZ,2022-06-11 18:52:10,-46.6,168.3333,38.8,74,100,17.72
204,Fort Smith,US,2022-06-11 18:54:25,35.3859,-94.3986,90.37,67,97,8.99
205,Fortuna,US,2022-06-11 18:54:25,40.5982,-124.1573,69.35,84,94,4.52
206,Jacqueville,CI,2022-06-11 18:54:26,5.2052,-4.4146,79.59,79,100,14.63
207,Nikolskoye,RU,2022-06-11 18:54:26,59.7035,30.7861,66.09,76,37,3.69
208,Cockburn Town,TC,2022-06-11 18:54:26,21.4612,-71.1419,85.96,62,40,14.97
209,Nome,US,2022-06-11 18:51:10,64.5011,-165.4064,46.17,49,0,8.05
